LastName,Initial,Footnote,ListOrder,Institution1,Address1,Institution2,Address2
Adams,C.,,,Argonne National Laboratory ," Argonne, IL 60439, USA",,
Almaz\'an,H.,,,"Department of Physics and Astronomy, Manchester University ","Manchester. M13 9PL, United Kingdom",,
\'Alvarez                    ,V.         ,,,"Instituto de Instrumentaci\'on para Imagen Molecular (I3M), Centro Mixto CSIC - Universitat Polit\`ecnica de Val\`encia, Camino de Vera s/n "," Valencia, E-46022, Spain",,
Aparicio,B.,,,"Department of Organic Chemistry I, University of the Basque Country (UPV/EHU), Centro de Innovaci\'on en Qu\'imica Avanzada (ORFEO-CINQA)","San Sebasti\'an / Donostia, E-20018, Spain",,
Aranburu,A.I.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Arazi                        ,L.         ,,,"Unit of Nuclear Engineering, Faculty of Engineering Sciences, Ben-Gurion University of the Negev, P.O.B. 653"," Beer-Sheva, 8410501, Israel",,
Arnquist                     ,I.J.       ,,,Pacific Northwest National Laboratory (PNNL) ," Richland, WA 99352, USA",,
Auria-Luna,F.,,,"Department of Organic Chemistry I, University of the Basque Country (UPV/EHU), Centro de Innovaci\'on en Qu\'imica Avanzada (ORFEO-CINQA)","San Sebasti\'an / Donostia, E-20018, Spain",,
Ayet,S.,,,"II. Physikalisches Institut, Justus-Liebig-Universitat Giessen","Giessen, Germany",,
Azevedo                      ,C.D.R.,,,"Institute of Nanostructures, Nanomodelling and Nanofabrication (i3N), Universidade de Aveiro, Campus de Santiago "," Aveiro, 3810-193, Portugal             ",,
Bailey                       ,K.         ,,,Argonne National Laboratory ," Argonne, IL 60439, USA",,
Ballester                    ,F.         ,,,"Instituto de Instrumentaci\'on para Imagen Molecular (I3M), Centro Mixto CSIC - Universitat Polit\`ecnica de Val\`encia, Camino de Vera s/n "," Valencia, E-46022, Spain",,
del Barrio-Torregrosa,M.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Bayo,A.,,,"Laboratorio Subterr\'aneo de Canfranc, Paseo de los Ayerbe s/n "," Canfranc Estaci\'on, E-22880, Spain",,
Benlloch-Rodr\'{i}guez       , J.M.       ,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Borges                       ,F.I.G.M.   ,,,"LIP, Department of Physics, University of Coimbra "," Coimbra, 3004-516, Portugal ",,
Brodolin,A.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain","Centro de F\'isica de Materiales (CFM), CSIC \& Universidad del Pais Vasco (UPV/EHU), Manuel de Lardizabal 5","San Sebasti\'an / Donostia, E-20018, Spain"
Byrnes                       ,N.         ,,,"Department of Physics, University of Texas at Arlington "," Arlington, TX 76019, USA",,
C\'arcel                     ,S.         ,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Castillo,A.       ,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Cebri\'an                    ,S.         ,,,"Centro de Astropart\'iculas y F\'isica de Altas Energ\'ias (CAPA), Universidad de Zaragoza, Calle Pedro Cerbuna, 12 "," Zaragoza, E-50009, Spain",,
Church                       ,E.         ,,,Pacific Northwest National Laboratory (PNNL) ," Richland, WA 99352, USA",,
Cid,L.,,,"Laboratorio Subterr\'aneo de Canfranc, Paseo de los Ayerbe s/n "," Canfranc Estaci\'on, E-22880, Spain",,
Conde                        ,C.A.N.     ,,,"LIP, Department of Physics, University of Coimbra "," Coimbra, 3004-516, Portugal",,
Contreras                    ,T.         ,,,"Department of Physics, Harvard University "," Cambridge, MA 02138, USA",,
Coss\'io,F.P.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain","Department of Applied Chemistry, Universidad del Pais Vasco (UPV/EHU), Manuel de Lardizabal 3","San Sebasti\'an / Donostia, E-20018, Spain"
Dey,E.,,,"Department of Physics, University of Texas at Arlington "," Arlington, TX 76019, USA",,
D\'iaz                       ,G.         ,,,"Instituto Gallego de F\'isica de Altas Energ\'ias, Univ.\ de Santiago de Compostela, Campus sur, R\'ua Xos\'e Mar\'ia Su\'arez N\'u\~nez, s/n "," Santiago de Compostela, E-15782, Spain ",,
Dickel,T.,,,"II. Physikalisches Institut, Justus-Liebig-Universitat Giessen","Giessen, Germany",,
Echevarria,C.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Elorza,M.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Escada                       ,J.         ,,,"LIP, Department of Physics, University of Coimbra "," Coimbra, 3004-516, Portugal",,
Esteve                       ,R.         ,,,"Instituto de Instrumentaci\'on para Imagen Molecular (I3M), Centro Mixto CSIC - Universitat Polit\`ecnica de Val\`encia, Camino de Vera s/n "," Valencia, E-46022, Spain",,
Felkai                       ,R.         ," Now at Weizmann Institute of Science, Israel.",,"Unit of Nuclear Engineering, Faculty of Engineering Sciences, Ben-Gurion University of the Negev, P.O.B. 653"," Beer-Sheva, 8410501, Israel ",,
Fernandes                    ,L.M.P.     ,,,"LIBPhys, Physics Department, University of Coimbra, Rua Larga "," Coimbra, 3004-516, Portugal",,
Ferrario                     ,P.         ,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",Ikerbasque (Basque Foundation for Science),"Bilbao, E-48009, Spain"
Ferreira                     ,A.L.       ,,,"Institute of Nanostructures, Nanomodelling and Nanofabrication (i3N), Universidade de Aveiro, Campus de Santiago "," Aveiro, 3810-193, Portugal",,
Foss,F.W.,,,"Department of Chemistry and Biochemistry, University of Texas at Arlington "," Arlington, TX 76019, USA",,
Freixa,Z.,,,"Department of Applied Chemistry, Universidad del Pais Vasco (UPV/EHU), Manuel de Lardizabal 3","San Sebasti\'an / Donostia, E-20018, Spain",Ikerbasque (Basque Foundation for Science),"Bilbao, E-48009, Spain"
Garc\'ia-Barrena,J.,,,"Instituto de Instrumentaci\'on para Imagen Molecular (I3M), Centro Mixto CSIC - Universitat Polit\`ecnica de Val\`encia, Camino de Vera s/n "," Valencia, E-46022, Spain",,
G\'omez-Cadenas             , J.J.       ,NEXT Spokesperson. ,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",Ikerbasque (Basque Foundation for Science),"Bilbao, E-48009, Spain"
Gonz\'alez           ,R.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Grocott,J.W.R.,,,"Department of Physics and Astronomy, Manchester University ","Manchester. M13 9PL, United Kingdom",,
Guenette                    ,R.         ,,,"Department of Physics and Astronomy, Manchester University ","Manchester. M13 9PL, United Kingdom",,
Hauptman                    ,J.         ,,,"Department of Physics and Astronomy, Iowa State University"," Ames, IA 50011-3160, USA",,
Henriques                   ,C.A.O.     ,,,"LIBPhys, Physics Department, University of Coimbra, Rua Larga "," Coimbra, 3004-516, Portugal",,
Hernando~Morata             ,J.A.       ,,,"Instituto Gallego de F\'isica de Altas Energ\'ias, Univ.\ de Santiago de Compostela, Campus sur, R\'ua Xos\'e Mar\'ia Su\'arez N\'u\~nez, s/n "," Santiago de Compostela, E-15782, Spain",,
Herrero-G\'omez,P.        ,,,Hebrew University,"Edmond J. Safra Campus, Jerusalem 9190401 Israel",,
Herrero                     ,V.        ,,,"Instituto de Instrumentaci\'on para Imagen Molecular (I3M), Centro Mixto CSIC - Universitat Polit\`ecnica de Val\`encia, Camino de Vera s/n "," Valencia, E-46022, Spain",,
Herv\'es Carrete,C.,,,"Instituto Gallego de F\'isica de Altas Energ\'ias, Univ.\ de Santiago de Compostela, Campus sur, R\'ua Xos\'e Mar\'ia Su\'arez N\'u\~nez, s/n "," Santiago de Compostela, E-15782, Spain",,
Ifergan                     ,Y.        ,,,"Unit of Nuclear Engineering, Faculty of Engineering Sciences, Ben-Gurion University of the Negev, P.O.B. 653"," Beer-Sheva, 8410501, Israel ",,
Jones                       ,B.J.P.    ,,,"Department of Physics, University of Texas at Arlington "," Arlington, TX 76019, USA",,
Kellerer,F.,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Larizgoitia,L.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Larumbe,A.,,,"Department of Organic Chemistry I, University of the Basque Country (UPV/EHU), Centro de Innovaci\'on en Qu\'imica Avanzada (ORFEO-CINQA)","San Sebasti\'an / Donostia, E-20018, Spain",,
Lebrun                      ,P.        ,,,Fermi National Accelerator Laboratory ," Batavia, IL 60510, USA",,
Lopez,F.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
L\'opez-March               ,N.        ,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Madigan,R.,,,"Department of Chemistry and Biochemistry, University of Texas at Arlington "," Arlington, TX 76019, USA",,
Mano                        ,R.D.P.     ,,,"LIBPhys, Physics Department, University of Coimbra, Rua Larga "," Coimbra, 3004-516, Portugal",,
Marques,A.P.,,,"LIP, Department of Physics, University of Coimbra "," Coimbra, 3004-516, Portugal",,
Mart\'in-Albo               ,J.        ,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain ",,
Mart\'inez-Lema             ,G.        ,,,"Unit of Nuclear Engineering, Faculty of Engineering Sciences, Ben-Gurion University of the Negev, P.O.B. 653"," Beer-Sheva, 8410501, Israel",,
Mart\'inez-Vara             ,M.        ,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Miller,R.L.,,,"Department of Chemistry and Biochemistry, University of Texas at Arlington "," Arlington, TX 76019, USA",,
Mistry,K.,,,"Department of Physics, University of Texas at Arlington "," Arlington, TX 76019, USA",,
Molina-Canteras,J.,,,"Department of Organic Chemistry I, University of the Basque Country (UPV/EHU), Centro de Innovaci\'on en Qu\'imica Avanzada (ORFEO-CINQA)","San Sebasti\'an / Donostia, E-20018, Spain",,
Monrabal                    ,F.        ,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",Ikerbasque (Basque Foundation for Science),"Bilbao, E-48009, Spain"
Monteiro                    ,C.M.B.    ,,,"LIBPhys, Physics Department, University of Coimbra, Rua Larga "," Coimbra, 3004-516, Portugal",,
Mora                        ,F.J.      ,,,"Instituto de Instrumentaci\'on para Imagen Molecular (I3M), Centro Mixto CSIC - Universitat Polit\`ecnica de Val\`encia, Camino de Vera s/n "," Valencia, E-46022, Spain",,
Navarro,K.E.,,,"Department of Physics, University of Texas at Arlington "," Arlington, TX 76019, USA",,
Novella                     ,P.       ,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Nu\~{n}ez,A.,,,"Laboratorio Subterr\'aneo de Canfranc, Paseo de los Ayerbe s/n "," Canfranc Estaci\'on, E-22880, Spain",,
Nygren                      ,D.R.      ,,,"Department of Physics, University of Texas at Arlington "," Arlington, TX 76019, USA",,
Oblak,E.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Palacio,J.,,,"Laboratorio Subterr\'aneo de Canfranc, Paseo de los Ayerbe s/n "," Canfranc Estaci\'on, E-22880, Spain",,
Palmeiro                    ,B.        ,,,"Department of Physics and Astronomy, Manchester University ","Manchester. M13 9PL, United Kingdom",,
Para                        ,A.        ,,,Fermi National Accelerator Laboratory ," Batavia, IL 60510, USA",,
Parmaksiz,I.,,,"Department of Physics, University of Texas at Arlington "," Arlington, TX 76019, USA",,
Pazos,A.,,,"Department of Applied Chemistry, Universidad del Pais Vasco (UPV/EHU), Manuel de Lardizabal 3","San Sebasti\'an / Donostia, E-20018, Spain",,
Pelegrin,J.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
P\'erez Maneiro,M.,,,"Instituto Gallego de F\'isica de Altas Energ\'ias, Univ.\ de Santiago de Compostela, Campus sur, R\'ua Xos\'e Mar\'ia Su\'arez N\'u\~nez, s/n "," Santiago de Compostela, E-15782, Spain",,
Querol                      ,M.        ,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Redwine                     ,A.B.      ,,,"Unit of Nuclear Engineering, Faculty of Engineering Sciences, Ben-Gurion University of the Negev, P.O.B. 653"," Beer-Sheva, 8410501, Israel",,
Renner                      ,J.        ,,,"Instituto Gallego de F\'isica de Altas Energ\'ias, Univ.\ de Santiago de Compostela, Campus sur, R\'ua Xos\'e Mar\'ia Su\'arez N\'u\~nez, s/n "," Santiago de Compostela, E-15782, Spain ",,
Rivilla,I.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",Ikerbasque (Basque Foundation for Science),"Bilbao, E-48009, Spain"
Rogero,C.,,,"Centro de F\'isica de Materiales (CFM), CSIC \& Universidad del Pais Vasco (UPV/EHU), Manuel de Lardizabal 5","San Sebasti\'an / Donostia, E-20018, Spain",,
Rogers                      ,L.        ,,,Argonne National Laboratory ," Argonne, IL 60439, USA",,
Romeo                       ,B.        ,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",," Canfranc Estaci\'on, E-22880, Spain"
Romo-Luque                  ,C.        ,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Santos                      ,F.P.      ,,,"LIP, Department of Physics, University of Coimbra "," Coimbra, 3004-516, Portugal",,
Santos                      ,J.M.F. dos ,,,"LIBPhys, Physics Department, University of Coimbra, Rua Larga "," Coimbra, 3004-516, Portugal",,
Seemann,M.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Shomroni,I.,,,Hebrew University,"Edmond J. Safra Campus, Jerusalem 9190401 Israel",,
Silva,P.A.O.C.,,,"LIBPhys, Physics Department, University of Coimbra, Rua Larga "," Coimbra, 3004-516, Portugal",,
Sim\'on                     ,A.       ,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Soleti,S.R.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Sorel                       ,M.        ,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Soto-Oton,J.,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Teixeira,J.M.R.,,,"LIBPhys, Physics Department, University of Coimbra, Rua Larga "," Coimbra, 3004-516, Portugal",,
Teruel-Pardo,S.,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Toledo                      ,J.F.      ,,,"Instituto de Instrumentaci\'on para Imagen Molecular (I3M), Centro Mixto CSIC - Universitat Polit\`ecnica de Val\`encia, Camino de Vera s/n "," Valencia, E-46022, Spain",,
Tonnel\'e,C.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,
Torrent                     ,J.        ,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain"," Escola Polit\`ecnica Superior, Universitat de Girona, Av.~Montilivi, s/n "," Girona, E-17071, Spain"
Trettin,A.,,,"Department of Physics and Astronomy, Manchester University ","Manchester. M13 9PL, United Kingdom",,
Us\'on                      ,A.        ,,,"Instituto de F\'isica Corpuscular (IFIC), CSIC \& Universitat de Val\`encia, Calle Catedr\'atico Jos\'e Beltr\'an, 2 "," Paterna, E-46980, Spain",,
Valle,P.R.G.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain","Department of Applied Chemistry, Universidad del Pais Vasco (UPV/EHU), Manuel de Lardizabal 3","San Sebasti\'an / Donostia, E-20018, Spain"
Veloso                      ,J.F.C.A.  ,,,"Institute of Nanostructures, Nanomodelling and Nanofabrication (i3N), Universidade de Aveiro, Campus de Santiago "," Aveiro, 3810-193, Portugal",,
Waiton,J. ,,,"Department of Physics and Astronomy, Manchester University ","Manchester. M13 9PL, United Kingdom",,
Yubero,A.,,,"Donostia International Physics Center, BERC Basque Excellence Research Centre, Manuel de Lardizabal 4","San Sebasti\'an / Donostia, E-20018, Spain",,